순번,단지명,사업자등록번호,전화번호,종업원수,생산품,공장대표주소(도로명),업종명,기준일자
568,춘천후평일반산업단지,3088147330,070-8895-7349,4,체외진단키트,"강원특별자치도 춘천시 소양강로 10, 4층 419호 (후평동) 4층 419호",그 외 기타 분류 안된 화학제품 제조업,2025-02-06
569,춘천후평일반산업단지,2218142741,033-250-3647,3,홈페이지 제작,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 722호",컴퓨터 프로그래밍 서비스업,2025-02-06
570,춘천퇴계농공단지,2218114380,,4,"스테아린산마그네슘,탄린산알부민","강원특별자치도 춘천시 퇴계공단1길 61-7 (퇴계동, (주)한국지나제약)",의약용 화합물 및 항생물질 제조업,2025-02-06
571,춘천후평일반산업단지,4118702548,033-250-4051,1,발광형 교통 안전 표지,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 1층 101호 외 1필지",금속 표시판 제조업,2025-02-06
572,퇴계제2농공단지,2218128832,070-8895-7349,1,"조명장치, 미끄럼방지포장재, 폴리우레아수지도막방수재",강원특별자치도 춘천시 퇴계공단2길 35 (퇴계동),그 외 기타 전자부품 제조업 외 3 종,2025-02-06
573,남춘천일반산업단지,7118602835,033-250-4225,0,자동차용 표면광택제,,표면광택제 및 실내가향제 제조업,2025-02-06
574,퇴계제2농공단지,5258102374,070-8895-7349,7,"LED조명, 차단기, 콘센트, 폴리우레아",강원특별자치도 춘천시 퇴계공단2길 39 (퇴계동),그 외 기타 전자부품 제조업 외 3 종,2025-02-06
575,춘천창촌농공단지,8888601873,070-8895-7349,7,"액체여과기, 컨베이어, 방역용소독기, 동력분무기",강원특별자치도 춘천시 남산면 보매기길 75,액체 여과기 제조업 외 4 종,2025-02-06
576,춘천거두농공단지,2218128958,033-250-3655,5,"화장품, 화장품 원료",강원특별자치도 춘천시 동내면 거두단지1길 22,화장품 제조업,2025-02-06
577,춘천후평일반산업단지,6038527294,033-250-4452,7,시스템소프트웨어,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 819호",시스템 소프트웨어 개발 및 공급업,2025-02-06
578,춘천창촌농공단지,5208702196,033-250-3655,0,"버스승강장, 디자인울타리",강원특별자치도 춘천시 남산면 보매기길 65,구조용 금속 판제품 및 공작물 제조업 외 4 종,2025-02-06
579,춘천후평일반산업단지,1288603731,033-250-4051,2,문화재보수재(흙콘크리트),강원특별자치도 춘천시 후석로462번길 17 (후평동),그 외 기타 분류 안된 비금속 광물제품 제조업 외 4 종,2025-02-06
580,춘천후평일반산업단지,1358559594,033-250-4452,6,써비레이 에이아이,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 703호",응용 소프트웨어 개발 및 공급업,2025-02-06
581,남춘천일반산업단지,1058681001,033-250-4225,5,비제조(창고업),강원특별자치도 춘천시 동산면 종자리로 33-1,기타 보관 및 창고업 외 2 종,2025-02-06
582,춘천후평일반산업단지,7768702300,070-8895-7349,0,컴퓨터/서버,"강원특별자치도 춘천시 후석로420번길 7, 7층 701호 (후평동) 7층 701호",컴퓨터 제조업,2025-02-06
583,춘천후평일반산업단지,8358102174,070-8895-7342,1,임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 210호",비주거용 건물 임대업,2025-02-06
584,춘천후평일반산업단지,3708701632,033-250-4051,8,커피원두,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 320호",커피 가공업,2025-02-06
585,춘천후평일반산업단지,8068102195,033-250-3647,7,개발서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 816호",기타 공학 연구개발업,2025-02-06
586,퇴계제2농공단지,2218135880,070-8895-7349,9,"팬코일유닛, 공기조화기 등",강원특별자치도 춘천시 퇴계공단2길 54 (퇴계동),공기 조화장치 제조업 외 2 종,2025-02-06
587,춘천후평일반산업단지,2368800591,033-250-4051,2,공기압축기,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 337호 외 1필지","탭, 밸브 및 유사장치 제조업",2025-02-06
588,춘천후평일반산업단지,7358102312,033-250-4452,1,보고서,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 729호",농림수산학 및 수의학 연구개발업 외 3 종,2025-02-06
589,남춘천일반산업단지,4128149923,033-250-4225,34,보툴리눔 톡신제제,,생물학적 제제 제조업,2025-02-06
590,춘천후평일반산업단지,2028600992,033-250-3655,0,"성분검사,분석","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 316호",물질성분 검사 및 분석업,2025-02-06
591,춘천후평일반산업단지,,033-250-3647,23,지식산업센터,강원특별자치도 춘천시 소양강로 10(후평동),비주거용 건물 개발 및 공급업,2025-02-06
592,춘천창촌농공단지,1558701862,,6,"휀스, 보안등, 그물망 등",강원특별자치도 춘천시 남산면 보매기길 49,구조용 금속 판제품 및 공작물 제조업 외 2 종,2025-02-06
593,춘천퇴계농공단지,2218119973,070-8895-7349,70,화장품 외,강원특별자치도 춘천시 퇴계공단길 72 (퇴계동),화장품 제조업,2025-02-06
594,춘천퇴계농공단지,2218119973,070-8895-7349,10,색조화장품,강원특별자치도 춘천시 퇴계공단길 34 (퇴계동),화장품 제조업,2025-02-06
595,춘천퇴계농공단지,2218119973,070-8895-7349,0,화장품,강원특별자치도 춘천시 퇴계공단길 66 (퇴계동),화장품 제조업,2025-02-06
596,춘천퇴계농공단지,2218139042,,6,"동보장치, 마을무선방송장치","강원특별자치도 춘천시 퇴계공단1길 57, 1층 (퇴계동)",유선 통신장비 제조업 외 2 종,2025-02-06
597,퇴계제2농공단지,4888801513,033-250-4051,0,"보안용카메라, 영상감지장치, 차량번호판독기, 계장제어장치","강원특별자치도 춘천시 퇴계공단2길 55, 103호 (퇴계동)",방송장비 제조업 외 7 종,2025-02-06
598,춘천도시첨단문화산업단지,8748701527,033-250-4051,15,골전도 블루투스 헤드셋(ETEREO TC 시리즈),강원특별자치도 춘천시 서면 박사로 894 외 1필지,그 외 기타 의료용 기기 제조업 외 2 종,2025-02-06
599,춘천후평일반산업단지,,033-250-4051,0,차류가공품,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 4층 404호",차류 가공업,2025-02-06
600,춘천후평일반산업단지,2208633467,033-250-4452,16,SNS광고,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 507호",광고 대행업,2025-02-06
601,춘천후평일반산업단지,5988602396,033-250-3655,0,광고 대행,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 610호",광고 대행업,2025-02-06
602,남춘천일반산업단지,1208817814,033-250-4225,6,구강유산균,,건강기능식품 제조업 외 1 종,2025-02-06
603,춘천퇴계농공단지,2218121241,033-250-4051,7,"영상감시장치, 보안용카메라","강원특별자치도 춘천시 퇴계공단1길 56-16, A동 203호 (퇴계동)",방송장비 제조업 외 1 종,2025-02-06
604,춘천퇴계농공단지,2218120427,033-250-3361,19,닭갈비,강원특별자치도 춘천시 퇴계공단길 50 (퇴계동),가금류 가공 및 저장 처리업,2025-02-06
605,춘천창촌농공단지,7748801199,070-8895-7342,2,"안전용품 철구조물, 운동용매트또는패딩",강원특별자치도 춘천시 남산면 보매기길 65,구조용 금속 판제품 및 공작물 제조업 외 3 종,2025-02-06
606,춘천퇴계농공단지,4488602072,033-250-4051,6,바른엔젤체어(기능성의자),강원특별자치도 춘천시 퇴계공단1길 58 (퇴계동),합성수지 및 기타 플라스틱 물질 제조업,2025-02-06
607,춘천거두농공단지,,,5,스피커(산업용),"강원특별자치도 춘천시 동내면 거두단지길 27, 원진미디어","라디오, 녹음 및 재생 기기 제조업 외 4 종",2025-02-06
608,춘천동춘천일반산업단지,,033-250-3092,20,"구조형PE이중벽하수관,이중벽관,다중벽관,유봉관,환봉연결구, 빗물저장탱크",강원특별자치도 춘천시 동산면 원무동길 82-5,"플라스틱 선, 봉, 관 및 호스 제조업 외 4 종",2025-02-06
609,춘천후평일반산업단지,8228101387,033-250-3647,3,"환, 농산물가공품","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 620호",기타 과실ㆍ채소 가공 및 저장 처리업,2025-02-06
610,춘천후평일반산업단지,5048186794,033-250-3647,10,소프트웨어 개발 및 공급,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 820호 외 1필지",시스템 소프트웨어 개발 및 공급업,2025-02-06
611,춘천후평일반산업단지,,070-8895-7349,5,"디자인노면표지, 흙콘크리트, 투수골재포장재","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 333호",그 외 기타 플라스틱 제품 제조업 외 2 종,2025-02-06
612,춘천후평일반산업단지,2288106412,033-250-4452,1,건강보조식품 (원료),"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 302호",기타 과실ㆍ채소 가공 및 저장 처리업,2025-02-06
613,남춘천일반산업단지,2068198076,070-8895-7349,6,침구 및 관련제품,,침구 및 관련제품 제조업,2025-02-06
614,춘천퇴계농공단지,,,10,"디자인형울타리, 알루미늄제교량난간, 낙석방지책 등",강원특별자치도 춘천시 퇴계공단1길 13 (퇴계동),"금속 문, 창, 셔터 및 관련제품 제조업 외 14 종",2025-02-06
615,춘천후평일반산업단지,2218146015,033-250-3647,13,응용소프트웨어 개발,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 828호",시스템 소프트웨어 개발 및 공급업,2025-02-06
616,춘천후평일반산업단지,8948602256,033-250-3647,0,경영컨설팅,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 4층 403호",경영 컨설팅업,2025-02-06
617,춘천퇴계농공단지,3088802778,033-250-3655,2,데스크톱컴퓨터 외,"강원특별자치도 춘천시 퇴계농공로 87, 창조종합이엔지(주) (퇴계동)",컴퓨터 제조업 외 1 종,2025-02-06
618,춘천후평일반산업단지,4668600145,033-250-4051,3,"진단폐활량계, 체외진단기기","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 805호",그 외 기타 의료용 기기 제조업,2025-02-06
619,춘천퇴계농공단지,1608702806,033-250-4051,4,"프라즈마 악취저감기, 아크악취저감기",강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기체 여과기 제조업,2025-02-06
620,춘천후평일반산업단지,1218701398,033-250-3655,6,광고대행,"강원특별자치도 춘천시 후석로420번길 7, 1동 7층 710호(후평동) 1동 7층 710호 외 2필지",광고 대행업,2025-02-06
621,춘천퇴계농공단지,8028103232,033-250-4051,4,조명장치,"강원특별자치도 춘천시 퇴계농공로 87, 4층 402호 (퇴계동)",일반용 전기 조명장치 제조업,2025-02-06
622,퇴계제2농공단지,2218132931,070-8895-7342,21,"전기경보, 감시장치, 광섬유케이블, 기타 절연선, 기타 전기장비, 방송장비, CCTV",강원특별자치도 춘천시 퇴계공단2길 55 (퇴계동),기타 절연선 및 케이블 제조업 외 4 종,2025-02-06
623,춘천퇴계농공단지,2218134727,033-250-3361,4,"일반가구,사무용가구,싱크대,붙박이장,실험대,교구,도서열람대",강원특별자치도 춘천시 퇴계공단길 46 (퇴계동),기타 목재가구 제조업 외 1 종,2025-02-06
624,춘천후평일반산업단지,2868501314,033-250-3647,9,"Soet, Fingerrate App, Pass&Go","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 902호",컴퓨터시스템 통합 자문 및 구축 서비스업,2025-02-06
625,춘천퇴계농공단지,5488800586,070-8895-7349,6,"CCTV 카메라, 유무선통신 방송장치",강원특별자치도 춘천시 퇴계공단1길 51 (퇴계동),방송장비 제조업 외 2 종,2025-02-06
626,춘천퇴계농공단지,1128601927,070-8895-7349,3,"VMS, LCS 등(도로전광표지판, 차선제어전광판)",강원특별자치도 춘천시 퇴계공단1길 51 (퇴계동),교통 신호장치 제조업 외 1 종,2025-02-06
627,춘천퇴계농공단지,2338101141,033-250-4225,6,"보쌈, 족발 등",강원특별자치도 춘천시 퇴계공단길 86 (퇴계동),가금류 가공 및 저장 처리업 외 1 종,2025-02-06
628,춘천후평일반산업단지,2058701148,033-250-4452,8,태양광 발전소 전기설계 및 설치,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 205호",기타 엔지니어링 서비스업,2025-02-06
629,춘천퇴계농공단지,6658601455,033-250-3655,34,"창호 , 금속문, 창, 셔터 등","강원특별자치도 춘천시 퇴계농공로 87, 창조종합이엔지(주) (퇴계동)","금속 문, 창, 셔터 및 관련제품 제조업",2025-02-06
630,춘천퇴계농공단지,3088800595,033-250-4813,1,"철망, 식생매트","강원특별자치도 춘천시 퇴계공단1길 5, 가동 105호 (퇴계동, (주)대성산업춘천공장)",금속선 가공제품 제조업 외 1 종,2025-02-06
631,춘천후평일반산업단지,2218144865,070-8895-7349,5,설계,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 903호",건축설계 및 관련 서비스업,2025-02-06
632,춘천동춘천일반산업단지,7478701583,,18,"전기생산, 온수생산",,기타 발전업,2025-02-06
633,춘천후평일반산업단지,3218502412,070-8895-7349,3,"피부 미생물 분석 및 서비스, embryo culture chip ","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 726호",그 외 기타 의료용 기기 제조업 외 1 종,2025-02-06
634,춘천퇴계농공단지,5298602105,070-8895-7349,2,계량기기(액상디스펜서),"강원특별자치도 춘천시 퇴계농공로 87, 4층 401-2호 (퇴계동)",속도계 및 적산계기 제조업,2025-02-06
635,퇴계제2농공단지,2218138913,033-250-4051,9,"방송장비, 컴퓨터, 유선통신장비, 비디오 및 기타 영상기기",강원특별자치도 춘천시 퇴계공단2길 63(퇴계동),컴퓨터 제조업 외 3 종,2025-02-06
636,춘천동춘천일반산업단지,6198800383,070-8895-7349,50,조직수복용 생체재료,,의료용품 및 기타 의약 관련제품 제조업,2025-02-06
637,춘천후평일반산업단지,3878602194,070-8895-7342,0,동물용 의료기기,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 720호 외 1필지",동물용 의약품 제조업 외 2 종,2025-02-06
638,춘천동춘천일반산업단지,1788600234,033-250-4051,21,"종량제봉투, 폴리에틸렌 필름",강원특별자치도 춘천시 동산면 원무동길 108-19 외 1필지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",2025-02-06
639,춘천동춘천일반산업단지,1788600234,,27,쓰레기봉투,,"플라스틱 포대, 봉투 및 유사제품 제조업",2025-02-06
640,퇴계제2농공단지,5028191646,,9,"보행신호음성안내보조장치, CCTV 등",강원특별자치도 춘천시 퇴계공단2길 48 (퇴계동),기타 무선 통신장비 제조업 외 1 종,2025-02-06
641,춘천후평일반산업단지,2218103976,,2,주유소,"강원특별자치도 춘천시 후석로 400 (후평동, 태우주유소)",운송장비용 주유소 운영업,2025-02-06
642,춘천후평일반산업단지,4368801507,070-8895-7349,6,구조용금속제품,"강원특별자치도 춘천시 후석로420번길 7, 1동 6층 609호(후평동) 1동 6층 609호 외 1필지",구조용 금속 판제품 및 공작물 제조업,2025-02-06
643,춘천후평일반산업단지,1838701154,033-250-4452,2,컴퓨터시스템 구축,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 4층 402호",컴퓨터시스템 통합 자문 및 구축 서비스업,2025-02-06
644,춘천후평일반산업단지,6868502643,070-8895-7349,0,임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 307호",비주거용 건물 임대업,2025-02-06
645,춘천퇴계농공단지,2218137423,,4,"레저보트, 카누, 패들 등","강원특별자치도 춘천시 퇴계공단1길 61-11, 2층 (퇴계동)",오락 및 스포츠용 보트 건조업,2025-02-06
646,춘천후평일반산업단지,1898603153,033-250-3655,0,포장,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 4층 436호",포장 및 충전업,2025-02-06
647,춘천창촌농공단지,5858602798,070-8895-7349,3,"막구조물, 금속재울타리",강원특별자치도 춘천시 남산면 보매기길 78,"천막, 텐트 및 유사 제품 제조업 외 5 종",2025-02-06
648,춘천퇴계농공단지,2218138631,070-8895-7349,18,에어컨배수펌프,강원특별자치도 춘천시 퇴계공단1길 34 (퇴계동),유압기기 제조업,2025-02-06
649,춘천퇴계농공단지,8188102413,033-250-3647,5,수처리 및 공급장치,"강원특별자치도 춘천시 퇴계농공로 87, 창조종합이엔지(주) (퇴계동)",컨베이어장치 제조업 외 4 종,2025-02-06
650,퇴계제2농공단지,2218140952,070-8895-7349,15,"하드디스크 어레이, 컴퓨터서버, 안내전광판, 표식장비",강원특별자치도 춘천시 퇴계공단2길 65 (퇴계동),기억장치 제조업 외 3 종,2025-02-06
651,춘천퇴계농공단지,7358802397,033-250-4051,2,수처리기계,강원특별자치도 춘천시 퇴계공단길 94(퇴계동),컨베이어장치 제조업 외 1 종,2025-02-06
652,춘천창촌농공단지,3998102057,033-250-3092,3,"막구조물, 금속재울타리 등",강원특별자치도 춘천시 남산면 보매기길 78,구조용 금속 판제품 및 공작물 제조업 외 5 종,2025-02-06
653,춘천퇴계농공단지,4408801016,070-8895-7349,18,"사무용가구, 가정용싱크대, 화장실 칸막이",강원특별자치도 춘천시 퇴계공단1길 55 (퇴계동),기타 목재가구 제조업 외 4 종,2025-02-06
654,춘천후평일반산업단지,6768602100,033-250-4051,1,가열감자,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 1층 103호",기타 과실ㆍ채소 가공 및 저장 처리업,2025-02-06
655,남춘천일반산업단지,6768602100,070-8895-7349,15,제빵,강원특별자치도 춘천시 동산면 종자리로 33-19,빵류 제조업,2025-02-06
656,퇴계제2농공단지,6708601781,070-8895-7349,5,"자전거 안장, 기능성 방석, 기능성 의자",강원특별자치도 춘천시 퇴계공단2길 61 (퇴계동),그 외 기타 금속가공업 외 3 종,2025-02-06
657,퇴계제2농공단지,5698701533,,4,"사무용기계 및 장비, 옥외용 벤치, 기타종경시설물 등",,사무용 기계 및 장비 제조업,2025-02-06
658,퇴계제2농공단지,2218144297,,9,"화재경보기, 차단기, 콘센트, 수배전반, 전기장비 등",,그 외 기타 전기장비 제조업 외 1 종,2025-02-06
659,퇴계제2농공단지,2218144322,033-250-4051,16,"양념닭갈비, 양념수제돼지갈비",강원특별자치도 춘천시 퇴계공단2길 42 (퇴계동),가금류 가공 및 저장 처리업 외 2 종,2025-02-06
660,퇴계제2농공단지,1058745773,033-250-4051,12,"CCTV,  방송장비",강원특별자치도 춘천시 퇴계공단2길 50 (퇴계동),방송장비 제조업 외 3 종,2025-02-06
661,퇴계제2농공단지,8178601172,,7,"방송장비, 통신장비 등",강원특별자치도 춘천시 퇴계공단2길 63(퇴계동),방송장비 제조업 외 3 종,2025-02-06
662,퇴계제2농공단지,2218116734,,10,"방송장비, 영상감시장치",,방송장비 제조업 외 8 종,2025-02-06
663,춘천퇴계농공단지,2218124840,,3,"디자인형울타리, 조립식구조물 외",강원특별자치도 춘천시 퇴계공단1길 13 (퇴계동),구조용 금속 판제품 및 공작물 제조업 외 3 종,2025-02-06
664,퇴계제2농공단지,2218114944,,10,알루미늄 창호,강원특별자치도 춘천시 퇴계공단2길 68(퇴계동),"금속 문, 창, 셔터 및 관련제품 제조업",2025-02-06
665,춘천퇴계농공단지,1608702806,033-250-4225,5,"기체여과기, 프라즈마악취저감기, 아크악취저감기","강원특별자치도 춘천시 퇴계공단1길 69, 외 1필지(퇴계동 857-6/857-5번지) (퇴계동)",기체 여과기 제조업,2025-02-06
666,춘천창촌농공단지,2158609645,,3,"여성위생 용품, 유기농제품 원사, 직물",강원특별자치도 춘천시 남산면 보매기길 86,연사 및 가공사 제조업 외 1 종,2025-02-06
667,춘천창촌농공단지,,,3,"유기농제품 원사, 직물",강원특별자치도 춘천시 남산면 보매기길 86,연사 및 가공사 제조업,2025-02-06
668,남춘천일반산업단지,3878602194,070-8895-7342,13,동물용 의약품 ,,동물용 의약품 제조업 외 2 종,2025-02-06
669,춘천수동농공단지,1148114438,,29,전자팩스 소프트웨어 개발 및 공급업,강원특별자치도 춘천시 남산면 버들1길 130,시스템 소프트웨어 개발 및 공급업,2025-02-06
670,춘천동춘천일반산업단지,1228703161,033-250-4225,3,일반창고업,강원특별자치도 춘천시 동산면 원무동길 108-3 (산업 5-3),일반 창고업,2025-02-06
671,춘천퇴계농공단지,2048145651,033-250-4051,3,자동제어반,강원특별자치도 춘천시 퇴계농공로 87(퇴계동),배전반 및 전기 자동제어반 제조업,2025-02-06
672,퇴계제2농공단지,2218113829,070-8895-7342,22,"금속가공제품, 가로등주, 조형물 등",강원특별자치도 춘천시 퇴계공단2길 72 (퇴계동),육상 금속 골조 구조재 제조업 외 12 종,2025-02-06
673,퇴계제2농공단지,2498600012,033-250-3655,9,"배전반,자동제어반,분전반",강원특별자치도 춘천시 퇴계공단2길 46 (퇴계동),배전반 및 전기 자동제어반 제조업,2025-02-06
674,춘천후평일반산업단지,3288500827,033-250-4452,3,진생베리농축액,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 918호",그 외 기타 식료품 제조업,2025-02-06
675,춘천후평일반산업단지,2092865579,033-250-3361,70,의류,"강원특별자치도 춘천시 삭주로145번길 14 (후평동, 옥시밸리)",남자용 겉옷 제조업 외 1 종,2025-02-06
676,춘천창촌농공단지,1321868471,033-250-3361,6,도배용사다리,강원특별자치도 춘천시 남산면 보매기길 68 (선일다까치호),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-02-06
677,춘천후평일반산업단지,2212681987,033-250-4225,12,압축분쇄,강원특별자치도 춘천시 공단로 76 (후평동),비금속류 원료 재생업,2025-02-06
678,춘천후평일반산업단지,2210923748,033-250-3361,6,고철,"강원특별자치도 춘천시 삭주로145번길 26 (후평동, 신영D&F)",금속류 해체 및 선별업 외 1 종,2025-02-06
679,춘천후평일반산업단지,1172364617,033-250-4452,1,경영 수업 및 컨설팅,"강원특별자치도 춘천시 후석로420번길 7, 3층 304호(후평동) 3층 304호 3층 304호",경영 컨설팅업,2025-02-06
680,춘천후평일반산업단지,5043178339,033-250-4051,0,열쇠고리,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 526호",그 외 기타 분류 안된 금속 가공 제품 제조업,2025-02-06
681,춘천퇴계농공단지,2218104072,033-250-4225,6,방송장비,"강원특별자치도 춘천시 퇴계농공로 108 (퇴계동, 성일엔지니어링)",방송장비 제조업,2025-02-06
682,춘천후평일반산업단지,7441701537,033-250-3655,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 719호",경영 컨설팅업,2025-02-06
683,춘천후평일반산업단지,2218127852,033-250-3647,4,암석역학시험,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 535호",기타 자연과학 연구개발업,2025-02-06
684,춘천후평일반산업단지,3062399604,033-250-3647,1,응용소프트웨어 개발 및 공급,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 236호",응용 소프트웨어 개발 및 공급업,2025-02-06
685,춘천동춘천일반산업단지,2218121668,033-250-4051,15,"차선도색 도료, 미끄럼방지포장재",강원특별자치도 춘천시 동산면 원무동길 114,일반용 도료 및 관련제품 제조업 외 4 종,2025-02-06
686,춘천퇴계농공단지,5863300142,033-250-4051,0,계장제어장치,"강원특별자치도 춘천시 퇴계농공로 87, 509호 (퇴계동)",배전반 및 전기 자동제어반 제조업 외 1 종,2025-02-06
687,춘천후평일반산업단지,2210519760,033-250-4051,2,안주,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 214호",수산동물 건조 및 염장품 제조업,2025-02-06
688,춘천퇴계농공단지,2210615266,033-250-4051,3,"폴딩도어, 커튼월, 창호, 자동문",강원특별자치도 춘천시 퇴계농공로 85(퇴계동),"금속 문, 창, 셔터 및 관련제품 제조업",2025-02-06
689,춘천퇴계농공단지,2218146688,033-250-3092,16,"전광판, 영상감시장치, 마을방송(무선), 버스정보안내기 등","강원특별자치도 춘천시 퇴계공단1길 57, 첨단정보통신주식회사 (퇴계동)",전시 및 광고용 조명장치 제조업 외 9 종,2025-02-06
690,춘천후평일반산업단지,2218142455,033-250-4051,1,"크림, 바디워시, 바디로션","강원특별자치도 춘천시 소양강로 32, 312호 (후평동)",화장품 제조업,2025-02-06
691,춘천후평일반산업단지,2213709278,033-250-4051,2,"도시락류, 기타 식사용 가공처리 조리식품","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 501호",도시락류 제조업 외 1 종,2025-02-06
692,춘천후평일반산업단지,3635600738,070-8895-7349,1,임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 212호 외 1필지",비주거용 건물 임대업,2025-02-06
693,춘천퇴계농공단지,,,2,"소독기, 산업용탈취제",강원특별자치도 춘천시 퇴계공단1길 57(퇴계동),동력식 수지공구 제조업 외 2 종,2025-02-06
694,춘천후평일반산업단지,5220602266,033-250-3655,0,경영컨설팅,"강원특별자치도 춘천시 소양강로 10, 1동 4층 420호 (후평동) 1동 4층 420호",경영 컨설팅업,2025-02-06
695,춘천후평일반산업단지,2210296219,,10,건축설계 및 감리,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 810호 외 1필지",건축설계 및 관련 서비스업,2025-02-06
696,춘천후평일반산업단지,,,7,고철,강원특별자치도 춘천시 공단로70번길 31 (후평동) 외 1필지,금속류 해체 및 선별업 외 1 종,2025-02-06
697,춘천퇴계농공단지,1221116147,,3,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
698,춘천퇴계농공단지,2211080099,033-250-4225,15,양념닭갈비,"강원특별자치도 춘천시 퇴계공단길 30, 춘천그린식품 (퇴계동, (주)우동식품)",가금류 가공 및 저장 처리업 외 1 종,2025-02-06
699,퇴계제2농공단지,2211080099,,19,"닭갈비, 소스류",,가금류 가공 및 저장 처리업 외 1 종,2025-02-06
700,퇴계제2농공단지,2211080099,,19,"간편식, 도시락, 즉석식품, 닭갈비 등",,가금류 가공 및 저장 처리업 외 4 종,2025-02-06
701,춘천후평일반산업단지,6783300965,033-250-3655,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 617호",경영 컨설팅업,2025-02-06
702,춘천후평일반산업단지,2218138188,033-250-3361,4,육류포장,강원특별자치도 춘천시 후석로462번길 21 (후평동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2025-02-06
703,춘천후평일반산업단지,8900901536,,3,두부,강원특별자치도 춘천시 후석로462번길 21 (후평동),두부 및 유사식품 제조업,2025-02-06
704,춘천퇴계농공단지,2219601384,,0,병원,"강원특별자치도 춘천시 퇴계공단길 40 (퇴계동, 춘천새윤의원)",일반 의원,2025-02-06
705,춘천동춘천일반산업단지,1078807919,070-8895-7349,46,"전기, 열",강원특별자치도 춘천시 동산면 원무동길 82,화력 발전업 외 1 종,2025-02-06
706,춘천후평일반산업단지,2936100020,033-250-3647,1,기타엔지니어링서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 509호",기타 엔지니어링 서비스업,2025-02-06
707,춘천후평일반산업단지,2218201179,,8,우유,"강원특별자치도 춘천시 후석로440번길 10 (후평동, 춘천축산업협동조합)",액상시유 및 기타 낙농제품 제조업 외 3 종,2025-02-06
708,춘천퇴계농공단지,1351093444,,2,비제조업 택배,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),택배업,2025-02-06
709,춘천후평일반산업단지,1503001219,,1,세미 트레일러,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 618호",트레일러 및 세미트레일러 제조업,2025-02-06
710,춘천후평일반산업단지,2158678967,033-250-4051,11,화장품,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 704호",화장품 제조업,2025-02-06
711,춘천후평일반산업단지,1110939564,033-250-4813,2,소파 가구,"강원특별자치도 춘천시 후석로462번길 10 (후평동, 대왕가구공장)",소파 및 기타 내장가구 제조업 외 1 종,2025-02-06
